Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2017-07-14,47.15,47.73,47.15,47.71,0.55,47.49,550.0,7294.0,,,
2017-07-13,46.56,47.25,46.31,47.16,0.53,46.81,663.0,7342.0,,,
2017-07-12,47.2,47.65,46.41,46.63,0.24,47.04,1743.0,6896.0,,,480.0
2017-07-11,46.19,46.71,45.42,46.39,0.57,46.03,523.0,6828.0,,,
2017-07-10,45.85,46.07,45.55,45.82,0.25,45.75,572.0,6825.0,,,
2017-07-07,46.19,46.38,45.29,45.57,-1.31,45.8,1261.0,6794.0,,,
2017-07-06,47.18,47.75,46.75,46.88,0.27,47.42,1240.0,6841.0,,,
2017-07-05,48.32,48.32,46.24,46.61,-1.77,47.44,1509.0,6848.0,,,
2017-07-04,48.15,48.24,48.15,48.38,-0.08,48.2,80.0,6853.0,,,
2017-07-03,47.65,48.46,47.65,48.46,0.94,48.12,446.0,6848.0,,,
2017-06-30,46.72,47.5,46.72,47.52,1.01,47.02,911.0,6960.0,,,
2017-06-29,46.47,46.79,46.39,46.51,0.22,46.55,849.0,6841.0,,,
2017-06-28,45.63,46.24,45.55,46.29,0.51,45.94,1408.0,6719.0,,,
2017-06-27,45.35,45.93,45.29,45.78,0.91,45.64,1136.0,6680.0,,,
2017-06-26,44.97,44.97,44.31,44.87,0.3,44.59,854.0,6489.0,,,116.0
2017-06-23,44.08,44.58,44.08,44.57,0.33,44.47,808.0,6393.0,,,
2017-06-22,44.03,44.71,44.03,44.24,0.23,44.39,1139.0,5980.0,,,
2017-06-21,44.91,45.58,43.72,44.01,-1.06,44.56,1913.0,5223.0,,,
2017-06-20,45.81,45.81,44.65,45.07,-0.86,44.92,1644.0,5029.0,,,
2017-06-19,46.38,46.59,46.16,45.93,-0.45,46.37,403.0,4969.0,,,
2017-06-16,46.38,46.4,46.22,46.38,0.25,46.29,421.0,4956.0,,,
2017-06-15,46.08,46.24,46.0,46.13,-0.11,46.04,1360.0,4819.0,,,
2017-06-14,47.28,47.6,46.02,46.24,-1.55,46.55,1390.0,4720.0,,,
2017-06-13,47.47,47.7,47.34,47.79,0.29,47.62,1088.0,4627.0,,,
2017-06-12,47.8,47.94,47.58,47.5,0.15,47.77,703.0,4639.0,,,
2017-06-09,47.27,47.4,47.27,47.35,0.08,47.35,762.0,4628.0,,,
2017-06-08,47.05,47.4,46.91,47.27,0.09,47.11,1354.0,4614.0,,,
2017-06-07,48.32,48.32,47.13,47.18,-1.85,47.53,795.0,4655.0,,,
2017-06-06,48.29,48.91,48.14,49.03,0.61,48.38,1232.0,4644.0,,,105.0
2017-06-05,48.84,48.84,48.22,48.42,-0.26,48.43,875.0,4723.0,,,
2017-06-02,48.15,48.68,48.15,48.68,-0.68,48.28,1230.0,4900.0,,,186.0
2017-06-01,49.48,49.96,49.24,49.36,0.11,49.66,1229.0,4797.0,,,
2017-05-31,49.5,49.5,49.3,49.25,-1.34,49.34,997.0,4822.0,,,
2017-05-30,50.54,50.55,50.23,50.59,-0.25,50.42,520.0,4820.0,,,
2017-05-29,,,,50.84,0.16,,129.0,4820.0,,,
2017-05-26,,,,50.68,0.82,,586.0,4812.0,,,
2017-05-25,51.65,51.91,50.0,49.86,-2.23,50.99,1691.0,4873.0,,,
2017-05-24,52.13,52.38,52.13,52.09,-0.25,52.19,1561.0,5268.0,,,
2017-05-23,51.72,52.31,51.69,52.34,0.23,52.1,919.0,5334.0,,,
2017-05-22,51.93,52.17,51.93,52.11,0.47,51.96,482.0,5331.0,,,
2017-05-19,,,,51.64,0.9,,589.0,4789.0,,,465.0
2017-05-18,50.55,50.75,50.55,50.74,0.07,50.65,403.0,4764.0,,,25.0
2017-05-17,50.82,50.82,50.82,50.67,0.4,50.82,691.0,4604.0,,,25.0
2017-05-16,50.44,50.44,50.3,50.27,0.08,50.35,512.0,4573.0,,,
2017-05-15,50.39,50.39,50.39,50.19,0.72,50.39,429.0,4580.0,,,
2017-05-12,49.15,49.15,49.09,49.47,-0.22,49.12,437.0,4610.0,,,
2017-05-11,49.71,49.71,49.71,49.69,0.41,49.71,117.0,4600.0,,,
2017-05-10,,,,49.28,1.19,,860.0,4420.0,,,
2017-05-09,48.05,48.05,47.93,48.09,-0.54,47.99,446.0,4434.0,,,
2017-05-08,48.26,48.26,48.26,48.63,0.34,48.26,400.0,4420.0,,,
2017-05-05,48.25,48.4,48.25,48.29,0.8,48.39,754.0,4332.0,,,
2017-05-04,,,,47.49,-2.01,,1426.0,4392.0,,,
2017-05-03,,,,49.5,0.24,,491.0,4337.0,,,
2017-05-02,50.12,50.18,49.98,49.26,-1.09,50.16,838.0,4374.0,,,
2017-05-01,,,,50.35,-0.39,,581.0,4308.0,,,
2017-04-28,,,,50.74,0.27,,871.0,4279.0,,,
2017-04-27,,,,50.47,-0.66,,266.0,4312.0,,,
2017-04-26,,,,51.13,0.02,,813.0,4367.0,,,
2017-04-25,51.2,51.2,51.03,51.11,0.08,51.05,437.0,4289.0,,,
2017-04-24,,,,51.03,-0.35,,768.0,4425.0,,,
2017-04-21,51.96,51.96,51.96,51.38,-0.87,51.96,381.0,4404.0,,,
